city,lat,lon,value
Adair Village,44.674608,-123.217761,1
Adams,45.766353,-118.564085,1
Adrian,43.740826,-117.070882,2
Albany,44.626928,-123.096741,1
Aloha,45.492045,-122.872609,2
Alpine,44.330644,-123.36261,3
Alsea,44.381805,-123.595744,4
Altamont,42.198087,-121.724855,5
Amity,45.116161,-123.199672,6
Annex,44.234252,-116.992399,7
Antelope,44.911279,-120.72386,9
Arlington,45.720319,-120.195304,3
Ashland,42.192172,-122.700426,4
Astoria,46.187263,-123.814572,3
Athena,45.813241,-118.492504,2
Aumsville,44.845455,-122.868812,3
Aurora,45.228399,-122.757207,4
Baker City,44.77489,-117.831987,5
Bandon,43.11469,-124.41552,6
Banks,45.614538,-123.111556,2
Barlow,45.252372,-122.722376,3
Barview,43.348305,-124.306642,1
Bay City,45.521061,-123.886126,1
Bayside Gardens,45.714329,-123.916474,1
Beaver,45.27901,-123.824616,1
Beavercreek,45.281036,-122.50849,1
Beaverton,45.479567,-122.81497,1
Bellfountain,44.365394,-123.35593,1
Bend,44.05643,-121.308024,1
Bethany,45.561786,-122.838918,1
Biggs Junction,45.663945,-120.838748,1
Black Butte Ranch,44.360929,-121.666612,1
Blodgett,44.59698,-123.521026,1
Boardman,45.836507,-119.692793,1
Bonanza,42.200316,-121.406675,1
Brogan,44.247544,-117.518669,1
Brookings,42.0689,-124.299948,1
Brooks,45.050806,-122.957479,1
Brownsville,44.392262,-122.983388,1
Bull Mountain,45.413219,-122.836899,1
Bunker Hill,43.346667,-124.209334,1
Burns,43.588262,-119.061293,1
Butte Falls,42.541444,-122.569376,1
Butteville,45.252414,-122.834472,1
Camp Sherman,44.449305,-121.649605,1
Canby,45.265185,-122.68825,1
Cannon Beach,45.889332,-123.960452,1
Canyon City,44.39301,-118.949485,1
Canyonville,42.92706,-123.280467,1
Cape Meares,45.536831,-123.948309,1
Carlton,45.294511,-123.175332,1
Cascade Locks,45.676211,-121.867793,1
Cascadia,44.393003,-122.502643,1
Cave Junction,42.166664,-123.648096,1
Cayuse,45.676497,-118.5735,1
Cedar Hills,45.504435,-122.80655,1
Cedar Mill,45.535508,-122.800712,1
Central Point,42.376803,-122.91072,1
Chenoweth,45.616523,-121.234258,1
Chiloquin,42.576417,-121.867752,1
Clatskanie,46.103508,-123.205117,1
Cloverdale,45.200608,-123.884165,1
Coburg,44.138196,-123.058859,1
Columbia City,45.897546,-122.812402,1
Condon,45.236551,-120.185827,1
Coos Bay,43.381159,-124.232725,1
Coquille,43.180331,-124.184163,1
Cornelius,45.519758,-123.053013,1
Corvallis,44.569949,-123.278285,1
Cottage Grove,43.794256,-123.058818,1
Cove,45.296398,-117.810465,1
Crabtree,44.637643,-122.905942,1
Crane,43.417916,-118.587477,1
Crawfordsville,44.356087,-122.86488,1
Creswell,43.922501,-123.013977,1
Culver,44.523386,-121.210993,1
Dallas,44.922046,-123.313572,1
Damascus,45.426602,-122.443132,1
Days Creek,42.970493,-123.165742,1
Dayton,45.219842,-123.078097,1
Dayville,44.466761,-119.532223,1
Deer Island,45.932994,-122.849763,1
Depoe Bay,44.809141,-124.059677,1
Deschutes River Woods,43.987447,-121.359101,1
Detroit,44.733778,-122.151664,1
Dillard,43.108239,-123.426194,1
Donald,45.222194,-122.838596,1
Drain,43.662007,-123.31428,1
Dufur,45.453079,-121.128917,1
Dundee,45.275798,-123.007417,1
Dunes City,43.907045,-124.099328,1
Durham,45.394494,-122.75798,1
Eagle Crest,44.26142,-121.29955,1
Eagle Point,42.467696,-122.801568,1
Echo,45.743062,-119.192032,1
Elgin,45.564417,-117.921309,1
Elkton,43.637429,-123.569148,1
Enterprise,45.425845,-117.278489,1
Eola,44.931351,-123.121229,1
Estacada,45.297544,-122.331858,1
Eugene,44.056748,-123.116207,1
Fair Oaks,43.410894,-123.219492,1
Fairview,45.547459,-122.436899,1
Falls City,44.864804,-123.437502,1
Florence,43.991632,-124.106456,1
Foots Creek,42.388135,-123.140951,1
Forest Grove,45.524366,-123.110589,1
Fort Hill,45.067124,-123.560482,1
Fossil,44.997994,-120.214691,1
Four Corners,44.929687,-122.972192,1
Fruitdale,42.417833,-123.301505,1
Garden Home-Whitford,45.463239,-122.761172,1
Gardiner,43.732721,-124.106808,1
Garibaldi,45.560774,-123.911344,1
Gaston,45.435665,-123.143721,1
Gates,44.756006,-122.420132,1
Gearhart,46.0295,-123.917894,1
Gervais,45.107779,-122.896174,1
Gladstone,45.38565,-122.592827,1
Glasgow,43.43769,-124.195185,1
Glendale,42.7381,-123.429377,1
Glide,43.289796,-123.069183,1
Gold Beach,42.413297,-124.422162,1
Gold Hill,42.435773,-123.052585,1
Gopher Flats,45.665942,-118.722499,1
Government Camp,45.302227,-121.752581,1
Grand Ronde,45.073841,-123.621041,1
Granite,44.810265,-118.419242,1
Grants Pass,42.434113,-123.333166,1
Grass Valley,45.359056,-120.784155,1
Green,43.151399,-123.387402,1
Greenhorn,44.708716,-118.496742,1
Gresham,45.502319,-122.441609,1
Haines,44.912272,-117.939552,1
Halfway,44.877993,-117.109711,1
Halsey,44.38289,-123.109446,1
Happy Valley,45.4386,-122.512808,1
Harbor,42.0368,-124.25198,1
Harper,43.856971,-117.626545,1
Harrisburg,44.270278,-123.162583,1
Hayesville,44.979353,-122.973917,1
Hebo,45.226003,-123.858629,1
Helix,45.850628,-118.658965,1
Heppner,45.352994,-119.560569,1
Hermiston,45.832799,-119.285798,1
Hillsboro,45.530767,-122.937143,1
Hines,43.557358,-119.081951,1
Holley,44.348986,-122.785581,1
Hood River,45.709115,-121.526019,1
Hubbard,45.181829,-122.807158,1
Huntington,44.350145,-117.26676,1
Idanha,44.707921,-122.104867,1
Idaville,45.509725,-123.863276,1
Imbler,45.462096,-117.963164,1
Independence,44.857784,-123.197681,1
Ione,45.503204,-119.819832,1
Irrigon,45.895048,-119.488734,1
Island City,45.336015,-118.049396,1
Jacksonville,42.312632,-122.969169,1
Jeffers Gardens,46.151755,-123.852082,1
Jefferson,44.716188,-123.006721,1
Jennings Lodge,45.392845,-122.616834,1
John Day,44.419424,-118.952082,1
Johnson City,45.40458,-122.578817,1
Jordan Valley,42.979333,-117.057442,1
Joseph,45.352722,-117.230457,1
Junction City,44.219969,-123.213768,1
Juntura,43.748684,-118.078841,1
Keizer,45.002971,-123.024491,1
Kerby,42.204731,-123.648933,1
King City,45.400453,-122.806102,1
Kings Valley,44.698013,-123.426401,1
Kirkpatrick,45.679542,-118.649821,1
Klamath Falls,42.218595,-121.774962,1
La Grande,45.324471,-118.086891,1
La Pine,43.686514,-121.485596,1
Labish Village,45.0191,-122.973586,1
Lacomb,44.584365,-122.741669,1
Lafayette,45.246167,-123.1115,1
Lake Oswego,45.412305,-122.699154,1
Lakeside,43.583617,-124.170762,1
Lakeview,42.191438,-120.352536,1
Langlois,42.925901,-124.453177,1
Lebanon,44.531503,-122.908003,1
Lexington,45.44616,-119.687952,1
Lincoln Beach,44.873166,-124.03155,1
Lincoln City,44.97229,-124.008144,1
Lonerock,45.088698,-119.884091,1
Long Creek,44.714152,-119.104245,1
Lookingglass,43.184802,-123.499903,1
Lostine,45.487124,-117.429689,1
Lowell,43.92018,-122.782509,1
Lyons,44.77926,-122.611838,1
Madras,44.638418,-121.127162,1
Malin,42.013366,-121.409744,1
Manzanita,45.716582,-123.935073,1
Marion,44.75125,-122.927723,1
Maupin,45.171756,-121.086974,1
Maywood Park,45.552517,-122.561778,1
McMinnville,45.210994,-123.191829,1
Medford,42.336896,-122.854244,1
Mehama,44.791241,-122.628151,1
Melrose,43.252861,-123.457458,1
Merlin,42.518049,-123.429997,1
Merrill,42.026015,-121.60085,1
Metolius,44.587469,-121.176032,1
Metzger,45.449205,-122.762301,1
Mill City,44.751901,-122.477902,1
Millersburg,44.678707,-123.072711,1
Milton-Freewater,45.934854,-118.391305,1
Milwaukie,45.444124,-122.620915,1
Mission,45.658566,-118.665527,1
Mitchell,44.573603,-120.152648,1
Molalla,45.151024,-122.58224,1
Monmouth,44.850506,-123.228411,1
Monroe,44.316853,-123.298863,1
Monument,44.820797,-119.420843,1
Moro,45.48381,-120.733355,1
Mosier,45.684979,-121.39818,1
Mount Angel,45.070293,-122.796353,1
Mount Hood,45.533898,-121.566214,1
Mount Hood Village,45.3239,-121.990496,1
Mount Vernon,44.416897,-119.113174,1
Mulino,45.222006,-122.557242,1
Myrtle Creek,43.02386,-123.2785,1
Myrtle Point,43.061974,-124.133073,1
Neahkahnie,45.732341,-123.939798,1
Nehalem,45.719007,-123.894248,1
Nesika Beach,42.507696,-124.402239,1
Neskowin,45.120823,-123.976305,1
Netarts,45.435624,-123.934386,1
New Hope,42.36929,-123.35895,1
New Pine Creek,42.001468,-120.304371,1
Newberg,45.307067,-122.96015,1
Newport,44.620869,-124.043041,1
North Bend,43.407163,-124.234483,1
North Plains,45.596958,-122.995646,1
North Powder,45.029872,-117.920452,1
Nyssa,43.877877,-116.995598,1
Oak Grove,45.412653,-122.634446,1
Oak Hills,45.540368,-122.841323,1
Oakland,43.422998,-123.297168,1
Oakridge,43.745007,-122.465261,1
Oatfield,45.412074,-122.593632,1
O'Brien,42.079977,-123.704149,1
Oceanside,45.454901,-123.961265,1
Odell,45.635462,-121.552231,1
Ontario,44.025893,-116.976018,1
Oregon City,45.341314,-122.592327,1
Pacific City,45.20633,-123.953975,1
Paisley,42.692647,-120.545626,1
Parkdale,45.513042,-121.592076,1
Pendleton,45.674564,-118.817853,1
Peoria,44.450773,-123.204218,1
Philomath,44.541973,-123.359527,1
Phoenix,42.274822,-122.815168,1
Pilot Rock,45.493618,-118.829685,1
Pine Grove,45.11351,-121.355334,1
Pine Hollow,45.235235,-121.283705,1
Pistol River,42.287853,-124.398775,1
Plush,42.405043,-119.899312,1
Port Orford,42.749276,-124.498118,1
Portland,45.536951,-122.649971,1
Powers,42.885501,-124.073367,1
Prairie City,44.461101,-118.70938,1
Prescott,46.048166,-122.887938,1
Prineville,44.300048,-120.858173,1
Pronghorn,44.188145,-121.181655,1
Prospect,42.754675,-122.471115,1
Rainier,46.09368,-122.955373,1
Raleigh Hills,45.485084,-122.75657,1
Redmond,44.262753,-121.180137,1
Redwood,42.420855,-123.392935,1
Reedsport,43.698854,-124.111918,1
Richland,44.767803,-117.169074,1
Rickreall,44.931894,-123.23436,1
Riddle,42.954199,-123.364472,1
Rivergrove,45.385318,-122.73365,1
Riverside,45.676747,-118.736792,1
Rockaway Beach,45.616872,-123.939067,1
Rockcreek,45.552421,-122.875744,1
Rogue River,42.435534,-123.168226,1
Rose Lodge,45.018579,-123.888152,1
Roseburg,43.222336,-123.352482,1
Roseburg North,43.265057,-123.307748,1
Rowena,45.670108,-121.274947,1
Ruch,42.231368,-123.040322,1
Rufus,45.688994,-120.746635,1
Salem,44.923694,-123.023119,1
Sandy,45.398073,-122.268802,1
Scappoose,45.756601,-122.876707,1
Scio,44.704514,-122.85083,1
Scotts Mills,45.040998,-122.668957,1
Seaside,45.989019,-123.920958,1
Selma,42.279722,-123.615058,1
Seneca,44.135219,-118.97627,1
Seventh Mountain,44.007322,-121.381002,1
Shady Cove,42.605321,-122.819377,1
Shaniko,45.003616,-120.752217,1
Shedd,44.457955,-123.111911,1
Sheridan,45.095198,-123.396348,1
Sherwood,45.359784,-122.843028,1
Siletz,44.721834,-123.9187,1
Silver Lake,43.12639,-121.049471,1
Silverton,45.003478,-122.780976,1
Sisters,44.292082,-121.553384,1
Sodaville,44.483042,-122.869078,1
South Lebanon,44.504745,-122.893188,1
Spray,44.83311,-119.794263,1
Springfield,44.053947,-122.981225,1
St. Helens,45.857544,-122.815812,1
St. Paul,45.212246,-122.977173,1
Stafford,45.373826,-122.678819,1
Stanfield,45.784939,-119.219073,1
Stayton,44.805527,-122.799861,1
Sublimity,44.829253,-122.792522,1
Summerville,45.489701,-118.004026,1
Summit,44.636004,-123.576612,1
Sumpter,44.743547,-118.197461,1
Sunriver,43.882127,-121.434979,1
Sutherlin,43.388954,-123.322293,1
Sweet Home,44.404029,-122.701474,1
Takilma,42.040835,-123.622313,1
Talent,42.240421,-122.781104,1
Tangent,44.54769,-123.110935,1
Terrebonne,44.353346,-121.18083,1
Tetherow,44.038918,-121.366705,1
The Dalles,45.596789,-121.152071,1
Three Rivers,43.836547,-121.46465,1
Tigard,45.423568,-122.77862,1
Tillamook,45.456013,-123.835474,1
Toledo,44.619392,-123.933703,1
Trail,42.666921,-122.813254,1
Tri-City,42.989232,-123.300006,1
Troutdale,45.53893,-122.393027,1
Tualatin,45.376716,-122.770379,1
Tumalo,44.156065,-121.327985,1
Turner,44.848455,-122.951336,1
Tutuilla,45.614223,-118.706394,1
Tygh Valley,45.241802,-121.169278,1
Ukiah,45.134488,-118.933031,1
Umapine,45.975929,-118.500938,1
Umatilla,45.916968,-119.332684,1
Union,45.208913,-117.867921,1
Unity,44.448947,-118.186116,1
Vale,43.983953,-117.241749,1
Veneta,44.04715,-123.351335,1
Vernonia,45.861409,-123.183515,1
Waldport,44.418368,-124.066232,1
Wallowa,45.570355,-117.528643,1
Wallowa Lake,45.300501,-117.215247,1
Wamic,45.225619,-121.292667,1
Warm Springs,44.791594,-121.248279,1
Warren,45.816024,-122.882741,1
Warrenton,46.170222,-123.922653,1
Wasco,45.591666,-120.697494,1
Waterloo,44.494682,-122.824277,1
West Haven-Sylvan,45.516292,-122.765891,1
West Linn,45.367123,-122.639654,1
West Scio,44.709831,-122.88122,1
West Slope,45.496107,-122.773115,1
Westfir,43.757922,-122.502475,1
Weston,45.816454,-118.425869,1
Westport,46.130309,-123.371415,1
Wheeler,45.687265,-123.887169,1
White City,42.431666,-122.832231,1
Willamina,45.078549,-123.484807,1
Williams,42.219433,-123.292208,1
Wilsonville,45.311262,-122.77092,1
Wimer,42.552513,-123.145907,1
Winchester Bay,43.677256,-124.177724,1
Winston,43.12013,-123.424124,1
Wood Village,45.535789,-122.420493,1
Woodburn,45.147683,-122.858568,1
Yachats,44.312137,-124.101827,1
Yamhill,45.341101,-123.185044,1
