date, keyword1, keyword2, keyword3, keyword4, keyword5
20160901,77,53,43,83,34
20160902,51,41,63,47,27
20160903,60,50,69,42,27
20160904,39,29,59,76,77
20160905,22,88,84,90,83
20160906,71,94,34,84,47
20160907,43,23,27,61,42
20160908,63,26,27,21,76
20160909,69,87,77,99,90
20160910,59,43,83,88,84
20160911,84,50,47,94,53
20160912,34,38,42,22,41
20160913,27,25,76,71,50
20160914,27,74,90,43,29
20160915,77,89,84,53,21
20160916,83,28,61,41,99
20160917,47,27,21,50,79
20160918,42,32,99,29,26
20160919,76,84,88,21,87
20160920,90,86,94,99,43
20160921,84,96,23,79,50
20160922,61,82,26,99,38
20160923,21,48,87,45,25
20160924,99,35,43,46,74
20160925,79,52,50,40,89
20160926,99,76,38,34,28
20160927,45,84,25,28,27
20160928,46,54,74,27,69
20160929,40,55,86,32,59
20160930,34,47,28,84,84
